Região de Saúde,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
25013,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25014,20.02,17.67,15.65,5.63,6.29,8.33,5.86,6.93,1.77,0.00,0.00,0.00
25015,21.77,13.81,12.37,9.44,8.27,8.24,8.08,11.62,10.65,10.39,6.39,4.20
25016,36.02,33.12,33.81,30.86,27.30,25.60,26.72,34.77,38.04,36.88,40.63,41.48
26001,41.70,41.47,42.71,38.90,40.42,32.78,28.93,33.47,34.60,35.91,34.93,23.75
26002,31.00,26.26,20.86,13.74,10.52,6.99,5.19,8.81,10.34,9.92,9.59,8.78
26003,27.51,21.91,18.61,17.05,14.59,13.58,13.83,18.37,19.34,19.41,19.01,17.14
26004,27.47,19.55,15.71,14.61,15.95,17.55,16.71,18.45,22.22,24.29,22.35,22.17
26005,19.02,26.70,23.79,17.84,14.50,11.95,10.28,9.83,9.39,12.67,8.29,2.97
26006,35.52,44.90,43.54,41.08,38.78,35.29,33.22,34.09,33.83,31.79,29.65,22.50
26007,25.11,27.35,31.89,37.61,41.78,38.59,35.10,39.87,38.92,37.13,34.34,32.61
26008,21.11,18.64,16.69,12.81,12.49,11.78,10.05,10.42,9.97,10.01,11.14,9.50
26009,22.49,22.69,21.43,20.62,21.27,28.82,31.54,39.24,46.51,50.74,45.95,45.66
26010,22.11,18.04,16.18,16.54,15.56,18.12,21.89,26.21,26.09,26.61,27.42,28.57
26011,16.57,24.18,20.68,12.74,16.01,20.20,15.95,18.39,20.82,21.86,17.45,15.65
26012,17.84,17.67,18.09,17.12,15.84,10.15,11.01,17.92,16.26,18.29,15.11,11.31
27001,12.78,10.48,10.01,10.01,8.86,9.49,8.87,8.31,8.74,10.18,13.32,15.75
27002,30.24,24.14,24.15,26.54,28.72,27.51,25.54,26.62,26.70,24.78,25.68,24.47
27003,23.35,19.47,17.37,18.07,14.43,16.38,16.07,15.57,14.63,13.11,12.34,12.38
27004,20.34,13.05,13.83,16.44,15.25,7.14,5.51,7.56,8.24,10.75,11.42,16.00
27005,40.09,25.05,24.79,20.88,21.30,20.63,22.71,21.56,25.74,25.02,29.97,28.22
27006,15.82,12.20,12.12,12.28,10.35,6.92,7.80,7.60,6.28,9.77,7.50,8.43
27007,23.62,27.98,27.95,30.54,29.12,30.75,30.95,29.63,30.97,31.00,33.40,31.90
27008,25.51,17.31,17.93,18.34,15.73,15.68,14.69,13.42,14.04,15.08,16.12,13.81
27009,31.71,33.20,31.49,35.99,29.01,27.63,27.28,36.58,39.29,40.03,39.10,36.87
27010,22.16,23.68,23.06,28.10,25.77,25.64,23.79,22.39,24.56,22.82,24.58,21.01
28001,22.59,17.14,16.55,17.83,17.84,15.13,15.59,16.50,16.19,14.98,13.50,11.72
28002,43.10,33.12,37.75,36.65,34.39,30.73,28.03,34.18,32.72,32.65,34.33,33.89
28003,48.01,48.04,43.90,44.44,42.96,41.09,37.87,40.40,39.55,37.91,41.73,43.84
28004,28.15,22.31,27.29,26.55,26.78,30.14,26.89,41.16,47.22,50.38,50.83,48.73
28005,60.84,51.71,52.03,56.33,50.69,36.60,33.79,53.92,58.88,57.32,53.68,57.21
28006,71.50,28.44,20.71,21.63,21.91,21.55,20.27,23.34,25.05,21.81,28.08,26.61
28007,31.33,29.55,28.30,28.60,23.23,20.74,24.97,34.13,36.50,31.34,31.00,30.84
29001,29.22,26.49,26.61,24.82,22.81,29.87,28.62,29.28,32.76,33.62,34.69,42.18
29002,14.62,7.47,5.08,3.91,6.71,4.51,7.15,18.33,21.10,24.33,23.06,17.78
29003,31.30,22.24,17.63,20.22,17.96,14.97,16.67,20.19,23.00,20.21,16.24,19.14
29004,24.05,19.89,16.01,18.18,21.17,23.14,24.17,26.59,26.16,27.12,32.45,33.33
29005,16.35,17.49,17.89,22.21,24.76,25.31,25.44,21.86,17.70,25.14,24.55,24.95
29006,32.75,34.76,30.57,29.69,29.39,30.42,28.32,28.91,28.96,35.93,37.43,36.91
29007,24.34,17.90,13.27,15.79,16.04,16.82,12.78,12.86,11.53,10.42,10.67,11.44
29008,16.40,11.16,13.20,12.67,11.71,14.71,17.80,25.72,30.60,37.59,38.93,41.75
29009,24.51,22.88,21.09,24.13,24.69,21.97,26.11,30.09,29.00,31.08,29.22,29.59
29010,18.74,26.03,25.11,30.81,26.83,27.65,27.50,40.59,49.29,48.93,37.39,33.46
29011,21.82,13.21,11.05,17.16,21.77,19.71,17.59,28.17,28.51,32.02,39.74,26.67
29012,31.05,29.22,31.45,29.75,30.57,29.03,29.04,29.38,32.55,34.16,37.96,43.16
29013,11.66,10.38,12.12,12.33,13.98,17.31,22.49,29.61,28.89,26.86,30.83,27.92
29014,17.27,21.86,25.96,24.34,20.69,18.27,16.40,26.29,36.18,34.64,34.46,25.88
29015,25.68,27.01,24.62,24.44,24.88,25.52,22.23,25.35,26.67,27.14,29.24,32.61
29016,17.41,14.28,13.07,17.18,18.68,19.08,18.99,25.75,30.09,33.66,34.50,33.38
29017,24.89,28.41,21.93,15.90,11.05,10.43,15.30,25.60,23.39,21.71,22.37,21.82
29018,32.85,29.47,29.02,24.28,24.09,23.17,22.68,29.06,31.65,35.18,36.26,38.14
29019,46.23,46.59,43.26,41.28,37.55,44.88,38.91,50.79,51.65,52.68,58.38,53.15
29020,1.76,1.98,0.96,0.75,1.22,2.36,6.56,6.85,6.92,12.04,11.99,12.29
29021,19.02,19.19,20.29,29.14,26.57,21.05,22.04,39.56,42.02,39.88,35.31,36.40
29022,30.83,22.43,24.34,27.86,29.28,29.95,24.70,23.36,22.38,22.20,26.18,27.73
29023,47.92,39.55,34.90,41.70,39.46,29.15,26.53,30.37,24.79,27.50,23.55,18.83
29024,6.86,8.11,8.42,11.91,15.94,16.82,17.50,28.11,33.33,42.17,34.47,26.38
29025,37.12,41.24,36.82,38.68,36.58,31.69,30.93,44.93,55.58,55.57,58.05,64.04
29026,35.15,41.27,36.88,34.05,32.75,32.97,29.48,33.72,32.31,35.12,34.04,35.42
29027,44.19,42.31,41.58,41.11,39.19,42.46,39.24,37.61,36.98,37.73,37.33,45.83
29028,19.61,20.43,19.89,16.08,16.50,16.68,18.78,25.15,22.70,25.77,26.36,23.28
31001,7.66,12.23,2.77,0.00,2.87,10.88,3.33,6.65,1.11,4.41,6.61,12.31
31002,11.34,17.66,18.79,17.33,21.48,21.45,20.79,26.51,25.88,23.54,22.35,32.60
