CIR,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
26002,0.8,0.8,0.84,0.88,0.9,0.9,0.92,0.95,0.95,0.95,0.96,0.97,0.97,0.97,0.98,0.97
26003,0.81,0.81,0.86,0.9,0.91,0.92,0.94,0.95,0.96,0.95,0.96,0.97,0.97,0.97,0.97,0.98
26004,0.79,0.81,0.86,0.88,0.88,0.92,0.94,0.95,0.96,0.96,0.96,0.96,0.96,0.97,0.98,0.98
26005,0.77,0.79,0.84,0.89,0.9,0.92,0.93,0.95,0.95,0.96,0.96,0.97,0.97,0.97,0.97,0.98
26006,0.81,0.83,0.84,0.87,0.89,0.91,0.93,0.94,0.94,0.95,0.96,0.96,0.96,0.96,0.96,0.96
26007,0.84,0.87,0.9,0.93,0.93,0.93,0.94,0.95,0.95,0.94,0.96,0.97,0.97,0.96,0.97,0.97
26008,0.77,0.82,0.83,0.86,0.88,0.9,0.92,0.94,0.96,0.96,0.97,0.97,0.96,0.96,0.97,0.97
26009,0.83,0.86,0.86,0.88,0.89,0.9,0.93,0.95,0.95,0.94,0.95,0.97,0.95,0.96,0.96,0.94
26010,0.87,0.89,0.9,0.92,0.92,0.93,0.93,0.94,0.95,0.95,0.95,0.95,0.96,0.95,0.95,0.95
26011,0.89,0.92,0.93,0.94,0.94,0.95,0.97,0.95,0.98,0.97,0.98,0.98,0.98,0.99,0.99,0.98
26012,0.85,0.88,0.91,0.92,0.92,0.94,0.94,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.98,0.98
27001,0.8,0.86,0.89,0.93,0.94,0.95,0.95,0.94,0.95,0.95,0.94,0.94,0.94,0.91,0.93,0.9
27002,0.62,0.69,0.76,0.83,0.84,0.88,0.91,0.92,0.94,0.93,0.94,0.94,0.95,0.94,0.96,0.95
27003,0.73,0.77,0.85,0.89,0.89,0.89,0.91,0.92,0.93,0.93,0.94,0.95,0.95,0.95,0.97,0.96
27004,0.75,0.82,0.91,0.93,0.94,0.94,0.93,0.92,0.92,0.92,0.95,0.95,0.95,0.95,0.95,0.97
27005,0.73,0.81,0.87,0.89,0.92,0.93,0.93,0.94,0.94,0.95,0.96,0.96,0.95,0.95,0.96,0.96
27006,0.8,0.85,0.91,0.95,0.94,0.96,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.68,0.99
27007,0.78,0.81,0.86,0.91,0.92,0.92,0.93,0.94,0.95,0.94,0.95,0.92,0.95,0.95,0.96,0.96
27008,0.79,0.84,0.88,0.9,0.9,0.94,0.95,0.95,0.97,0.97,0.94,0.97,0.97,0.94,0.97,0.97
27009,0.76,0.82,0.88,0.91,0.9,0.92,0.92,0.93,0.95,0.94,0.96,0.97,0.97,0.97,0.97,0.98
27010,0.8,0.81,0.83,0.86,0.86,0.88,0.91,0.92,0.93,0.92,0.95,0.94,0.94,0.95,0.95,0.94
28001,0.79,0.83,0.87,0.89,0.91,0.93,0.93,0.93,0.93,0.95,0.9,0.84,0.9,0.95,0.95,0.96
