CIR,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
27010,0.43,0.42,0.46,0.53,0.56,0.62,0.64,0.69,0.72,0.71,0.74,0.77,0.78,0.8,0.82,0.82
28001,0.61,0.65,0.68,0.73,0.76,0.77,0.79,0.79,0.79,0.8,0.78,0.73,0.79,0.84,0.83,0.85
28002,0.53,0.54,0.58,0.6,0.59,0.62,0.7,0.7,0.71,0.71,0.74,0.77,0.78,0.8,0.78,0.79
28003,0.66,0.7,0.75,0.77,0.8,0.8,0.83,0.84,0.85,0.86,0.88,0.87,0.88,0.9,0.91,0.93
28004,0.55,0.56,0.63,0.64,0.66,0.65,0.73,0.74,0.78,0.79,0.79,0.81,0.85,0.83,0.84,0.83
28005,0.49,0.56,0.57,0.64,0.69,0.65,0.71,0.75,0.78,0.77,0.78,0.81,0.82,0.83,0.86,0.88
28006,0.56,0.61,0.68,0.71,0.73,0.76,0.79,0.81,0.82,0.83,0.84,0.83,0.83,0.82,0.82,0.82
28007,0.57,0.6,0.71,0.75,0.76,0.75,0.79,0.8,0.78,0.82,0.84,0.85,0.85,0.84,0.85,0.89
29001,0.38,0.41,0.48,0.51,0.54,0.55,0.57,0.61,0.63,0.66,0.69,0.73,0.75,0.75,0.78,0.78
29002,0.42,0.49,0.5,0.53,0.54,0.57,0.61,0.65,0.69,0.68,0.71,0.75,0.8,0.78,0.81,0.81
29003,0.47,0.49,0.51,0.56,0.57,0.68,0.73,0.74,0.8,0.81,0.85,0.86,0.87,0.86,0.88,0.9
29004,0.47,0.5,0.5,0.53,0.54,0.55,0.6,0.63,0.65,0.67,0.69,0.71,0.71,0.73,0.76,0.77
29005,0.44,0.45,0.49,0.56,0.6,0.63,0.64,0.67,0.69,0.7,0.74,0.78,0.78,0.82,0.86,0.87
29006,0.47,0.49,0.51,0.54,0.58,0.63,0.66,0.68,0.7,0.72,0.74,0.76,0.77,0.78,0.79,0.81
29007,0.46,0.48,0.51,0.55,0.56,0.58,0.64,0.68,0.74,0.75,0.77,0.79,0.79,0.8,0.82,0.86
29008,0.35,0.37,0.37,0.4,0.45,0.5,0.57,0.6,0.61,0.6,0.63,0.66,0.7,0.74,0.78,0.82
29009,0.37,0.36,0.4,0.43,0.46,0.5,0.52,0.55,0.56,0.58,0.6,0.62,0.65,0.68,0.68,0.72
29010,0.49,0.53,0.55,0.61,0.61,0.61,0.65,0.69,0.73,0.75,0.74,0.78,0.81,0.81,0.85,0.86
29011,0.26,0.24,0.33,0.39,0.42,0.44,0.51,0.52,0.56,0.59,0.64,0.66,0.69,0.69,0.73,0.75
29012,0.43,0.44,0.47,0.49,0.5,0.52,0.55,0.58,0.62,0.61,0.64,0.65,0.68,0.7,0.73,0.75
29013,0.45,0.42,0.44,0.47,0.52,0.53,0.57,0.62,0.63,0.63,0.68,0.69,0.71,0.74,0.75,0.79
29014,0.43,0.42,0.46,0.49,0.53,0.56,0.62,0.65,0.68,0.7,0.73,0.77,0.79,0.79,0.8,0.8
